ModelName,Accuracy,Precision,Recall,F1,AreaUnderCurve
LogisticRegression,97.66686562971806,0.06378454996456413,0.9183673469387755,0.11928429423459243,0.9475682401548126
RandomForest,99.96313331694815,0.9873417721518988,0.7959183673469388,0.8813559322033897,0.8979503907640715
DecisionTree,99.82795547909133,0.5,0.7448979591836735,0.5983606557377049,0.8718070972057929
XGBoost,99.95786664794073,0.9302325581395349,0.8163265306122449,0.8695652173913043,0.9081105078497353
StackingClassifier,99.96313331694815,0.9753086419753086,0.8061224489795918,0.88268156424581,0.9030436386710002
